icao,geometry
0,BIRDES,"POLYGON ((-4 61, -3 61, -2.5 61, -2 61, 0 61, 0 61.2144444444, 0 61.5, 0 61.5286111111, 0 62, 0 62.5, 0 63, 0 63.0166666667, 0 63.25, 0 63.4761111111, 0 63.5, 0 64, 0 64.5, 0 65, 0 66, 0 66.5, 0 67, 0 67.5, 0 68, 0 68.5, 0 69, 0 69.3333333333, 0 69.5, 0 70, -0.3288888889 70.0138888889, -0.5872222222 70.0244444444, -0.8333333333 70.035, -20 70, -22 70, -21.3194444444 69.56999999999999, -10 61, -10 60.6666666667, -7 61, -7.1586111111 61, -7.5025 61.0516666667, -7.8208333333 61.1388888889, -8.103611111099999 61.2508333333, -8.343055555599999 61.3844444444, -8.5313888889 61.5355555556, -8.662777777800001 61.6991666667, -8.7330555556 61.8708333333, -8.7383333333 62.0452777778, -8.679722222200001 62.2169444444, -8.473888888899999 62.4580555556, -8.263611111099999 62.6008333333, -8.001388888899999 62.7241666667, -7.6955555556 62.8241666667, -7.3555555556 62.8977777778, -6.9922222222 62.9427777778, -6.6166666667 62.9580555556, -6.2411111111 62.9427777778, -5.8777777778 62.8977777778, -5.5377777778 62.8241666667, -5.2319444444 62.7241666667, -4.9697222222 62.6008333333, -4.7594444444 62.4580555556, -4.6066666667 62.3, -4.5161111111 62.1316666667, -4.4894444444 61.9580555556, -4.6288888889 61.6161111111, -4.7894444444 61.4580555556, -5.0041666667 61.3152777778, -5.1297222222 61.2508333333, -5.1463888889 61, -4.8333333333 61, -4 61))"
1,BIRDSS,"POLYGON ((-30 66.5, -30 61.7502777778, -30 61.1666666667, -30 61, -29.5 61, -29 61, -28.6563888889 61, -28.5 61, -28 61, -27.5 61, -27.1288888889 61, -27 61, -26.5 61, -26.1655555556 61, -26 61, -25.5 61, -25 61, -24.5 61, -24 61, -23.5 61, -23 61, -22.5 61, -22 61, -21.7775 61, -21.5 61, -21 61, -20.9016666667 61, -20.5 61, -20 61, -19.5394444444 61, -19.5 61, -19 61, -18.8572222222 61, -18.5 61, -18 61, -17.5 61, -17.4666666667 61, -17 61, -16.5 61, -16.3972222222 61, -16.045 61, -16 61, -15.5 61, -15 61, -14.5 61, -14 61, -13.5 61, -13 61, -12.5 61, -12 61, -11.5 61, -11 61, -10.6666666667 61, -10.5 61, -10 61, -21.3194444444 69.56999999999999, -22 70, -30 70, -30 66.5))"
2,DAAATNE,"POLYGON ((5 39, 5.3747222222 39, 6.0883333333 39, 6.25 39, 6.7166666667 39, 7.0333333333 39, 7.3311111111 39, 7.5666666667 39, 7.6333333333 39, 7.9619444444 39, 8 39, 8.1166666667 38.6666666667, 8.227499999999999 38.2902777778, 8.266666666700001 38.1666666667, 8.3166666667 37.9833333333, 8.611388888900001 37.0594444444, 8.6166666667 37.0333333333, 8.65 36.9333333333, 8.630000000000001 36.9102777778, 8.626944444399999 36.8552777778, 8.666666666699999 36.8333333333, 8.5666666667 36.7786111111, 8.4491666667 36.7658333333, 8.465 36.7458333333, 8.481111111100001 36.7055555556, 8.4580555556 36.6638888889, 8.4397222222 36.62, 8.1625 36.4752777778, 8.2638888889 36.4433333333, 8.3188888889 36.4330555556, 8.3666666667 36.405, 8.3891666667 36.3958333333, 8.375833333299999 36.3494444444, 8.3866666667 36.3094444444, 8.3436111111 36.2683333333, 8.341388888899999 36.1080555556, 8.3666666667 36.0822222222, 8.297499999999999 36.0355555556, 8.2675 35.7336111111, 8.3497222222 35.6680555556, 8.378333333300001 35.4919444444, 8.32 35.3094444444, 8.455833333299999 35.2425, 8.2611111111 34.8969444444, 8.2769444444 34.8, 7.6305555556 34.8, 7.1355555556 34.8, 6.9838888889 34.8, 6.7013888889 34.8, 5 34.7758333333, 5 34.8, 5 35.6666666667, 5 36.2022222222, 5 36.4844444444, 5 37.9891666667, 5 39))"
3,EBBUEEC,"POLYGON ((6.0625 50.9091666667, 6.0580555556 50.9225, 6.0069444444 51.0808333333, 6.0608333333 51.1333333333, 6.1005555556 51.14, 6.1291666667 51.1866666667, 6.0822222222 51.1752777778, 6.08 51.2461111111, 6.0202777778 51.2469444444, 5.9522222222 51.2486111111, 5.755 51.2513888889, 5.7441666667 51.2516666667, 5.7408333333 51.2594444444, 5.5897222222 51.2552777778, 5.5566666667 51.2558333333, 5.5472222222 51.27, 5.5 51.2916666667, 5.4225 51.2658333333, 5.4211111111 51.2655555556, 5.42 51.2655555556, 5.3858333333 51.2688888889, 5.3377777778 51.2666666667, 5.2791666667 51.2638888889, 5.2333333333 51.3108333333, 5.1319444444 51.3369444444, 5.1025 51.4163888889, 5.1 51.4238888889, 5.0872222222 51.4586111111, 5.0583333333 51.4916666667, 5.0819444444 51.3802777778, 5.1030555556 51.1483333333, 5.1102777778 51.07, 5.0916666667 51.065, 4.9808333333 51.035, 4.4833333333 50.9, 4.8152777778 50.8233333333, 4.9441666667 50.7875, 5.0533333333 50.7608333333, 5.1452777778 50.7383333333, 5.1777777778 50.7066666667, 5.2794444444 50.6508333333, 5.4630555556 50.5313888889, 5.5313888889 50.4847222222, 5.6925 50.3797222222, 5.8266666667 50.2922222222, 6.2166666667 50.2558333333, 6.2236111111 50.2608333333, 6.3011111111 50.325, 6.3586111111 50.3725, 6.4194444444 50.4222222222, 6.3327777778 50.4941666667, 6.2333333333 50.5, 6.2005555556 50.57, 6.2333333333 50.5833333333, 6.2463888889 50.5938888889, 6.2519444444 50.6022222222, 6.2786111111 50.6252777778, 6.2166666667 50.6333333333, 6.2072222222 50.6366666667, 6.1841666667 50.6477777778, 6.1402777778 50.6891666667, 6.1363888889 50.6958333333, 6.0752777778 50.7277777778, 6.0333333333 50.75, 6.0230555556 50.7577777778, 6.0741666667 50.8463888889, 6.0780555556 50.8611111111, 6.0705555556 50.8841666667, 6.0625 50.9091666667))"
4,EBBUEHS,"POLYGON ((5.5313888889 50.4847222222, 5.6925 50.3797222222, 5.8266666667 50.2922222222, 6.2166666667 50.2558333333, 6.2236111111 50.2608333333, 6.3011111111 50.325, 6.3586111111 50.3725, 6.4194444444 50.4222222222, 6.3327777778 50.4941666667, 6.2333333333 50.5, 6.2005555556 50.57, 6.2333333333 50.5833333333, 6.2463888889 50.5938888889, 6.2519444444 50.6022222222, 6.2786111111 50.6252777778, 6.2166666667 50.6333333333, 6.2072222222 50.6366666667, 6.1841666667 50.6477777778, 6.1402777778 50.6891666667, 6.1363888889 50.6958333333, 6.0752777778 50.7277777778, 6.0333333333 50.75, 6.0230555556 50.7577777778, 6.0741666667 50.8463888889, 6.0780555556 50.8611111111, 6.0705555556 50.8841666667, 6.0625 50.9091666667, 6.0580555556 50.9225, 6.0069444444 51.0808333333, 6.0608333333 51.1333333333, 6.1005555556 51.14, 6.1291666667 51.1866666667, 6.0822222222 51.1752777778, 6.08 51.2461111111, 6.0202777778 51.2469444444, 5.9522222222 51.2486111111, 5.755 51.2513888889, 5.7441666667 51.2516666667, 5.7408333333 51.2594444444, 5.5897222222 51.2552777778, 5.5566666667 51.2558333333, 5.5472222222 51.27, 5.5 51.2916666667, 5.4225 51.2658333333, 5.4211111111 51.2655555556, 5.42 51.2655555556, 5.3858333333 51.2688888889, 5.3377777778 51.2666666667, 5.2791666667 51.2638888889, 5.2333333333 51.3108333333, 5.1319444444 51.3369444444, 5.1025 51.4163888889, 5.1 51.4238888889, 5.0872222222 51.4586111111, 5.0583333333 51.4916666667, 5.0819444444 51.3802777778, 5.1030555556 51.1483333333, 5.1102777778 51.07, 5.1252777778 50.9286111111, 5.1386111111 50.8013888889, 5.1452777778 50.7383333333, 5.1777777778 50.7066666667, 5.2794444444 50.6508333333, 5.4630555556 50.5313888889, 5.5313888889 50.4847222222))"
5,EBBUELS,"POLYGON ((6.0580555556 50.9225, 6.0069444444 51.0808333333, 6.0047222222 51.0872222222, 5.9902777778 51.1338888889, 5.9736111111 51.1833333333, 5.9675 51.2030555556, 5.9602777778 51.2244444444, 5.9522222222 51.2486111111, 5.755 51.2513888889, 5.7441666667 51.2516666667, 5.7408333333 51.2594444444, 5.5897222222 51.2552777778, 5.5566666667 51.2558333333, 5.5472222222 51.27, 5.5 51.2916666667, 5.4225 51.2658333333, 5.4211111111 51.2655555556, 5.42 51.2655555556, 5.3858333333 51.2688888889, 5.3377777778 51.2666666667, 5.2791666667 51.2638888889, 5.2333333333 51.3108333333, 5.1319444444 51.3369444444, 5.1025 51.4163888889, 5.1 51.4238888889, 5.0872222222 51.4586111111, 5.0583333333 51.4916666667, 5.0819444444 51.3802777778, 5.1030555556 51.1483333333, 5.1102777778 51.07, 5.0916666667 51.065, 4.9808333333 51.035, 4.4833333333 50.9, 4.8152777778 50.8233333333, 4.9441666667 50.7875, 5.0533333333 50.7608333333, 5.1452777778 50.7383333333, 5.1777777778 50.7066666667, 5.2794444444 50.6508333333, 5.4630555556 50.5313888889, 5.5313888889 50.4847222222, 5.6925 50.3797222222, 5.8266666667 50.2922222222, 6.2166666667 50.2558333333, 6.2236111111 50.2608333333, 6.3011111111 50.325, 6.3586111111 50.3725, 6.4194444444 50.4222222222, 6.3327777778 50.4941666667, 6.2333333333 50.5, 6.2005555556 50.57, 6.2333333333 50.5833333333, 6.2463888889 50.5938888889, 6.2519444444 50.6022222222, 6.2786111111 50.6252777778, 6.2166666667 50.6333333333, 6.2072222222 50.6366666667, 6.1841666667 50.6477777778, 6.1402777778 50.6891666667, 6.1363888889 50.6958333333, 6.0752777778 50.7277777778, 6.0333333333 50.75, 6.0230555556 50.7577777778, 6.0741666667 50.8463888889, 6.0780555556 50.8611111111, 6.0705555556 50.8841666667, 6.0625 50.9091666667, 6.0580555556 50.9225))"
6,EBBUESC,"POLYGON ((6.0780555556 50.8611111111, 6.0705555556 50.8841666667, 6.0625 50.9091666667, 6.0580555556 50.9225, 6.0069444444 51.0808333333, 6.0608333333 51.1333333333, 6.1005555556 51.14, 6.1291666667 51.1866666667, 6.0822222222 51.1752777778, 6.08 51.2461111111, 6.0202777778 51.2469444444, 5.9522222222 51.2486111111, 5.755 51.2513888889, 5.7441666667 51.2516666667, 5.7408333333 51.2594444444, 5.5897222222 51.2552777778, 5.5566666667 51.2558333333, 5.5472222222 51.27, 5.5 51.2916666667, 5.4225 51.2658333333, 5.4211111111 51.2655555556, 5.42 51.2655555556, 5.3858333333 51.2688888889, 5.3377777778 51.2666666667, 5.2791666667 51.2638888889, 5.2333333333 51.3108333333, 5.1319444444 51.3369444444, 5.1025 51.4163888889, 5.1 51.4238888889, 5.0872222222 51.4586111111, 5.0583333333 51.4916666667, 5.0819444444 51.3802777778, 5.1030555556 51.1483333333, 5.1102777778 51.07, 5.0916666667 51.065, 4.9808333333 51.035, 4.4833333333 50.9, 4.4833333333 50.6405555556, 4.4833333333 50.6205555556, 4.4833333333 50.6072222222, 4.4833333333 50.5666666667, 4.4830555556 50.5541666667, 4.4833333333 50.4113888889, 4.4833333333 50.3666666667, 4.4833333333 50.3386111111, 4.4833333333 49.95, 4.5352777778 49.9655555556, 4.5666666667 49.975, 4.8666666667 49.9833333333, 4.8577777778 49.8619444444, 4.8583333333 49.8, 4.9394444444 49.8, 4.9880555556 49.8, 5.115 49.7361111111, 5.1205555556 49.7341666667, 5.1633333333 49.7166666667, 5.2627777778 49.6930555556, 5.2911111111 49.6772222222, 5.3158333333 49.6483333333, 5.3716666667 49.6252777778, 5.3833333333 49.6166666667, 5.4205555556 49.6011111111, 5.4422222222 49.5677777778, 5.4527777778 49.5469444444, 5.4375 49.5188888889, 5.5752777778 49.5275, 5.75 49.5416666667, 5.7555555556 49.5422222222, 5.8161111111 49.5494444444, 5.8241666667 49.5430555556, 5.8333333333 49.5430555556, 5.8458333333 49.53, 6 49.4555555556, 6.0555555556 49.4666666667, 6.115 49.4763888889, 6.1844444444 49.4963888889, 6.2066666667 49.5030555556, 6.225 49.5083333333, 6.3491666667 49.4658333333, 6.3916666667 49.4666666667, 6.4 49.4666666667, 6.4666666667 49.4666666667, 6.5444444444 49.4555555556, 6.4280555556 49.6347222222, 6.4275 49.6355555556, 6.5027777778 49.8091666667, 6.3405555556 49.8744444444, 6.2011111111 49.9355555556, 6.2025 49.9538888889, 6.2077777778 50.0302777778, 6.2144444444 50.13, 6.2169444444 50.1630555556, 6.2216666667 50.2333333333, 6.2222222222 50.2397222222, 6.2236111111 50.2608333333, 6.3011111111 50.325, 6.3586111111 50.3725, 6.4194444444 50.4222222222, 6.3327777778 50.4941666667, 6.2333333333 50.5, 6.2005555556 50.57, 6.2333333333 50.5833333333, 6.2463888889 50.5938888889, 6.2519444444 50.6022222222, 6.2786111111 50.6252777778, 6.2166666667 50.6333333333, 6.2072222222 50.6366666667, 6.1841666667 50.6477777778, 6.1402777778 50.6891666667, 6.1363888889 50.6958333333, 6.0752777778 50.7277777778, 6.0333333333 50.75, 6.0230555556 50.7577777778, 6.0741666667 50.8463888889, 6.0780555556 50.8611111111))"
7,EBBUHLC,"POLYGON ((4.4833333333 50.3386111111, 4.4833333333 49.95, 4.5352777778 49.9655555556, 4.5666666667 49.975, 4.8666666667 49.9833333333, 4.8577777778 49.8619444444, 4.8583333333 49.8, 4.9394444444 49.8, 4.9880555556 49.8, 5.115 49.7361111111, 5.1205555556 49.7341666667, 5.1633333333 49.7166666667, 5.2627777778 49.6930555556, 5.2911111111 49.6772222222, 5.3158333333 49.6483333333, 5.3716666667 49.6252777778, 5.3833333333 49.6166666667, 5.4205555556 49.6011111111, 5.4422222222 49.5677777778, 5.4527777778 49.5469444444, 5.4375 49.5188888889, 5.5752777778 49.5275, 5.75 49.5416666667, 5.7555555556 49.5422222222, 5.8161111111 49.5494444444, 5.8241666667 49.5430555556, 5.8333333333 49.5430555556, 5.8458333333 49.53, 6 49.4555555556, 6.0555555556 49.4666666667, 6.115 49.4763888889, 6.1844444444 49.4963888889, 6.2066666667 49.5030555556, 6.225 49.5083333333, 6.3491666667 49.4658333333, 6.3916666667 49.4666666667, 6.4 49.4666666667, 6.4666666667 49.4666666667, 6.5444444444 49.4555555556, 6.4280555556 49.6347222222, 6.4275 49.6355555556, 6.5027777778 49.8091666667, 6.3405555556 49.8744444444, 6.2011111111 49.9355555556, 6.2025 49.9538888889, 6.2077777778 50.0302777778, 6.2144444444 50.13, 6.2169444444 50.1630555556, 6.2216666667 50.2333333333, 6.2222222222 50.2397222222, 6.2236111111 50.2608333333, 6.2166666667 50.2558333333, 5.8266666667 50.2922222222, 5.6925 50.3797222222, 5.5313888889 50.4847222222, 5.4630555556 50.5313888889, 5.2794444444 50.6508333333, 5.1777777778 50.7066666667, 5.1452777778 50.7383333333, 5.0533333333 50.7608333333, 4.9441666667 50.7875, 4.8152777778 50.8233333333, 4.4833333333 50.9, 4.4833333333 50.6405555556, 4.4833333333 50.6205555556, 4.4833333333 50.6072222222, 4.4833333333 50.5666666667, 4.4830555556 50.5541666667, 4.4833333333 50.4113888889, 4.4833333333 50.3666666667, 4.4833333333 50.3386111111))"
8,EBBUHUS,"POLYGON ((4.4833333333 50.6072222222, 4.4833333333 50.5666666667, 4.4830555556 50.5541666667, 4.4833333333 50.4113888889, 4.4833333333 50.3666666667, 4.4833333333 50.3386111111, 4.4833333333 49.95, 4.5352777778 49.9655555556, 4.5666666667 49.975, 4.8666666667 49.9833333333, 4.8577777778 49.8619444444, 4.8583333333 49.8, 5.4619444444 49.9269444444, 5.7108333333 49.9808333333, 5.7213888889 49.9830555556, 5.7666666667 50.1, 5.8266666667 50.2922222222, 5.6925 50.3797222222, 5.5313888889 50.4847222222, 5.4630555556 50.5313888889, 5.2794444444 50.6508333333, 5.1777777778 50.7066666667, 5.1452777778 50.7383333333, 5.0533333333 50.7608333333, 4.9441666667 50.7875, 4.8152777778 50.8233333333, 4.4833333333 50.9, 4.4833333333 50.6405555556, 4.4833333333 50.6205555556, 4.4833333333 50.6072222222))"
9,EBBULUS,"POLYGON ((5.2911111111 49.6772222222, 5.3158333333 49.6483333333, 5.3716666667 49.6252777778, 5.3833333333 49.6166666667, 5.4205555556 49.6011111111, 5.4422222222 49.5677777778, 5.4527777778 49.5469444444, 5.4375 49.5188888889, 5.5752777778 49.5275, 5.75 49.5416666667, 5.7555555556 49.5422222222, 5.8161111111 49.5494444444, 5.8241666667 49.5430555556, 5.8333333333 49.5430555556, 5.8458333333 49.53, 6 49.4555555556, 6.0555555556 49.4666666667, 6.115 49.4763888889, 6.1844444444 49.4963888889, 6.2066666667 49.5030555556, 6.225 49.5083333333, 6.3491666667 49.4658333333, 6.3916666667 49.4666666667, 6.4 49.4666666667, 6.4666666667 49.4666666667, 6.5444444444 49.4555555556, 6.4280555556 49.6347222222, 6.4275 49.6355555556, 6.5027777778 49.8091666667, 6.3405555556 49.8744444444, 6.2011111111 49.9355555556, 6.2025 49.9538888889, 6.2077777778 50.0302777778, 6.2144444444 50.13, 6.2169444444 50.1630555556, 6.2216666667 50.2333333333, 6.2222222222 50.2397222222, 6.2236111111 50.2608333333, 6.2166666667 50.2558333333, 5.8266666667 50.2922222222, 5.7666666667 50.1, 5.7213888889 49.9830555556, 5.7108333333 49.9808333333, 5.4619444444 49.9269444444, 4.8583333333 49.8, 4.9394444444 49.8, 4.9880555556 49.8, 5.115 49.7361111111, 5.1205555556 49.7341666667, 5.1633333333 49.7166666667, 5.2627777778 49.6930555556, 5.2911111111 49.6772222222))"
