id,id_capacities,capacity_utilization,criticality_index,minimum_tw,criterion,model,id,sector_hour,icao,role,capacity,minute_start,minute_end
1,13219,0,0,1,cons,asymmetric,13219,BIKF_0000_0059_A,BIKF,A,22,0,59
22,13220,0,0,1,cons,asymmetric,13220,BIKF_0100_0159_A,BIKF,A,22,60,119
43,13221,0,0,1,cons,asymmetric,13221,BIKF_0200_0259_A,BIKF,A,22,120,179
64,13222,0,0,1,cons,asymmetric,13222,BIKF_0300_0359_A,BIKF,A,22,180,239
85,13223,1,0,1,cons,asymmetric,13223,BIKF_0400_0459_A,BIKF,A,22,240,299
106,13224,0,0,1,cons,asymmetric,13224,BIKF_0500_0559_A,BIKF,A,22,300,359
125,1526,22,0,1,cons,asymmetric,1526,EDUUNTM14_1200_1229_E,EDUUNTM14,E,25,720,749
134,13225,2,0,1,cons,asymmetric,13225,BIKF_0600_0659_A,BIKF,A,22,360,419
167,1527,4,0,1,cons,asymmetric,1527,EDUUNTM1C_0400_0429_E,EDUUNTM1C,E,27,240,269
176,13226,4,0,1,cons,asymmetric,13226,BIKF_0700_0759_A,BIKF,A,22,420,479
209,1528,12,0,1,cons,asymmetric,1528,EDUUNTM1C_0430_0459_E,EDUUNTM1C,E,27,270,299
218,13227,6,0,1,cons,asymmetric,13227,BIKF_0800_0859_A,BIKF,A,22,480,539
251,1529,39,0,1,cons,asymmetric,1529,EDUUNTM1C_0500_0559_E,EDUUNTM1C,E,53,300,359
260,13228,7,0,1,cons,asymmetric,13228,BIKF_0900_0959_A,BIKF,A,22,540,599
293,1530,49,0,1,cons,asymmetric,1530,EDUUNTM1C_0600_0659_E,EDUUNTM1C,E,53,360,419
302,13229,3,0,1,cons,asymmetric,13229,BIKF_1000_1059_A,BIKF,A,22,600,659
335,1531,20,0,1,cons,asymmetric,1531,EDUUNTM1C_0700_0729_E,EDUUNTM1C,E,27,420,449
344,13230,2,0,1,cons,asymmetric,13230,BIKF_1100_1159_A,BIKF,A,22,660,719
377,1532,27,15,1,cons,asymmetric,1532,EDUUNTM1C_1230_1259_E,EDUUNTM1C,E,27,750,779
386,13231,1,0,1,cons,asymmetric,13231,BIKF_1200_1259_A,BIKF,A,22,720,779
419,1533,47,0,1,cons,asymmetric,1533,EDUUNTM1C_1300_1359_E,EDUUNTM1C,E,53,780,839
428,13232,9,0,1,cons,asymmetric,13232,BIKF_1300_1359_A,BIKF,A,22,780,839
461,1534,43,0,1,cons,asymmetric,1534,EDUUNTM1C_1400_1459_E,EDUUNTM1C,E,53,840,899
470,13233,8,0,1,cons,asymmetric,13233,BIKF_1400_1459_A,BIKF,A,22,840,899
503,1535,27,11,1,cons,asymmetric,1535,EDUUNTM1C_1500_1529_E,EDUUNTM1C,E,27,900,929
512,13234,21,0,1,cons,asymmetric,13234,BIKF_1500_1559_A,BIKF,A,22,900,959
545,1536,26,0,1,cons,asymmetric,1536,EDUUNTM1C_1530_1559_E,EDUUNTM1C,E,27,930,959
554,13235,4,0,1,cons,asymmetric,13235,BIKF_1600_1659_A,BIKF,A,22,960,1019
587,1537,41,0,1,cons,asymmetric,1537,EDUUNTM1C_1600_1659_E,EDUUNTM1C,E,53,960,1019
596,13236,1,0,1,cons,asymmetric,13236,BIKF_1700_1759_A,BIKF,A,22,1020,1079
629,1538,53,0,1,cons,asymmetric,1538,EDUUNTM1C_1700_1759_E,EDUUNTM1C,E,53,1020,1079
641,13237,2,0,1,cons,asymmetric,13237,BIKF_1800_1859_A,BIKF,A,22,1080,1139
643,2968,16,0,1,cons,asymmetric,2968,EGPXHUM_0800_0859_E,EGPXHUM,E,35,480,539
690,1539,35,0,1,cons,asymmetric,1539,EDUUNTM1C_1800_1859_E,EDUUNTM1C,E,53,1080,1139
704,13238,1,0,1,cons,asymmetric,13238,BIKF_1900_1959_A,BIKF,A,22,1140,1199
706,2969,21,0,1,cons,asymmetric,2969,EGPXHUM_0900_0959_E,EGPXHUM,E,35,540,599
753,1540,44,0,1,cons,asymmetric,1540,EDUUNTM1C_1900_1959_E,EDUUNTM1C,E,53,1140,1199
766,13239,2,0,1,cons,asymmetric,13239,BIKF_2000_2059_A,BIKF,A,22,1200,1259
770,2970,24,0,1,cons,asymmetric,2970,EGPXHUM_1000_1059_E,EGPXHUM,E,35,600,659
816,1541,10,0,1,cons,asymmetric,1541,EDUUNTM1C_2000_2029_E,EDUUNTM1C,E,27,1200,1229
829,13240,0,0,1,cons,asymmetric,13240,BIKF_2100_2159_A,BIKF,A,22,1260,1319
833,2971,19,0,1,cons,asymmetric,2971,EGPXHUM_1100_1159_E,EGPXHUM,E,35,660,719
879,1542,13,0,1,cons,asymmetric,1542,EDUUNTM1C_2030_2059_E,EDUUNTM1C,E,27,1230,1259
892,13241,1,0,1,cons,asymmetric,13241,BIKF_2200_2259_A,BIKF,A,22,1320,1379
896,2972,17,0,1,cons,asymmetric,2972,EGPXHUM_1200_1259_E,EGPXHUM,E,35,720,779
942,1543,19,0,1,cons,asymmetric,1543,EDUUNTM1C_2100_2159_E,EDUUNTM1C,E,53,1260,1319
956,13242,10,0,1,cons,asymmetric,13242,BIKF_2300_2359_A,BIKF,A,22,1380,1439
958,2973,16,0,1,cons,asymmetric,2973,EGPXHUM_1300_1359_E,EGPXHUM,E,35,780,839
1009,1544,18,0,1,cons,asymmetric,1544,EDUUNTM1C_2200_2259_E,EDUUNTM1C,E,53,1320,1379
1011,4197,15,0,1,cons,asymmetric,4197,ENOS8_0700_0759_E,ENOS8,E,30,420,479
1026,264,0,0,1,cons,asymmetric,264,BIRDES_0000_0059_E,BIRDES,E,33,0,59
1032,2974,17,0,1,cons,asymmetric,2974,EGPXHUM_1400_1459_E,EGPXHUM,E,35,840,899
1093,1545,16,0,1,cons,asymmetric,1545,EDUUNTM24_0730_0759_E,EDUUNTM24,E,26,450,479
1095,4198,15,0,1,cons,asymmetric,4198,ENOS8_0800_0829_E,ENOS8,E,15,480,509
1108,265,10,0,1,cons,asymmetric,265,BIRDES_0100_0159_E,BIRDES,E,33,60,119
1118,2975,22,0,1,cons,asymmetric,2975,EGPXHUM_1500_1559_E,EGPXHUM,E,35,900,959
1178,1546,27,0,1,cons,asymmetric,1546,EDUUNTM24_0800_0859_E,EDUUNTM24,E,51,480,539
1179,4199,11,0,1,cons,asymmetric,4199,ENOS8_0830_0859_E,ENOS8,E,15,510,539
1193,266,13,0,1,cons,asymmetric,266,BIRDES_0200_0259_E,BIRDES,E,33,120,179
1200,2976,18,0,1,cons,asymmetric,2976,EGPXHUM_1600_1659_E,EGPXHUM,E,35,960,1019
1261,1547,24,0,1,cons,asymmetric,1547,EDUUNTM24_0900_0959_E,EDUUNTM24,E,51,540,599
1263,4200,14,0,1,cons,asymmetric,4200,ENOS8_0900_0959_E,ENOS8,E,30,540,599
1278,267,1,0,1,cons,asymmetric,267,BIRDES_0300_0359_E,BIRDES,E,33,180,239
1284,2977,16,0,1,cons,asymmetric,2977,EGPXHUM_1700_1759_E,EGPXHUM,E,35,1020,1079
1319,16874,13,0,1,cons,asymmetric,16874,GCFV_1700_1759_G,GCFV,G,22,1020,1079
1355,1548,25,0,1,cons,asymmetric,1548,EDUUNTM24_1000_1059_E,EDUUNTM24,E,51,600,659
1364,4201,17,0,1,cons,asymmetric,4201,ENOS8_1000_1059_E,ENOS8,E,30,600,659
1384,268,0,0,1,cons,asymmetric,268,BIRDES_0400_0459_E,BIRDES,E,33,240,299
1386,2978,16,0,1,cons,asymmetric,2978,EGPXHUM_1800_1859_E,EGPXHUM,E,35,1080,1139
1423,16899,5,0,1,cons,asymmetric,16899,GCFV_1800_1859_A,GCFV,A,12,1080,1139
1460,1549,25,0,1,cons,asymmetric,1549,EDUUNTM24_1100_1159_E,EDUUNTM24,E,51,660,719
1466,4202,20,0,1,cons,asymmetric,4202,ENOS8_1100_1159_E,ENOS8,E,30,660,719
1489,269,3,0,1,cons,asymmetric,269,BIRDES_0500_0559_E,BIRDES,E,33,300,359
1492,2979,14,0,1,cons,asymmetric,2979,EGPXHUM_1900_1959_E,EGPXHUM,E,35,1140,1199
1528,16923,3,0,1,cons,asymmetric,16923,GCFV_1800_1859_D,GCFV,D,12,1080,1139
1571,1550,14,0,1,cons,asymmetric,1550,EDUUNTM24_1200_1229_E,EDUUNTM24,E,26,720,749
1576,4203,16,0,1,cons,asymmetric,4203,ENOS8_1200_1259_E,ENOS8,E,30,720,779
1581,6277,13,0,1,cons,asymmetric,6277,LECMASI_2030_2059_E,LECMASI,E,18,1230,1259
1602,270,5,0,1,cons,asymmetric,270,BIRDES_0600_0659_E,BIRDES,E,33,360,419
1607,2980,14,0,1,cons,asymmetric,2980,EGPXHUM_2000_2059_E,EGPXHUM,E,35,1200,1259
1646,16875,8,0,1,cons,asymmetric,16875,GCFV_1800_1859_G,GCFV,G,22,1080,1139
1697,1551,18,0,1,cons,asymmetric,1551,EDUUNTM34_0730_0759_E,EDUUNTM34,E,24,450,479
1707,4204,23,0,1,cons,asymmetric,4204,ENOS8_1300_1359_E,ENOS8,E,30,780,839
1709,6278,18,15,1,cons,asymmetric,6278,LECMASI_2100_2129_E,LECMASI,E,18,1260,1289
1730,2981,14,0,1,cons,asymmetric,2981,EGPXHUM_2100_2159_E,EGPXHUM,E,35,1260,1319
1732,271,15,0,1,cons,asymmetric,271,BIRDES_0700_0759_E,BIRDES,E,33,420,479
1772,16900,6,0,1,cons,asymmetric,16900,GCFV_1900_1959_A,GCFV,A,12,1140,1199
1832,1552,40,0,1,cons,asymmetric,1552,EDUUNTM34_0800_0859_E,EDUUNTM34,E,48,480,539
1834,4205,18,0,1,cons,asymmetric,4205,ENOS8_1400_1459_E,ENOS8,E,30,840,899
1835,6279,10,0,1,cons,asymmetric,6279,LECMASL_0530_0559_E,LECMASL,E,18,330,359
1857,272,21,0,1,cons,asymmetric,272,BIRDES_0800_0859_E,BIRDES,E,33,480,539
1859,2982,4,0,1,cons,asymmetric,2982,EGPXHUM_2200_2259_E,EGPXHUM,E,35,1320,1379
1882,19314,0,0,1,cons,asymmetric,19314,LFBO_2300_2359_A,LFBO,A,23,1380,1439
1904,16924,8,0,1,cons,asymmetric,16924,GCFV_1900_1959_D,GCFV,D,12,1140,1199
1977,4206,18,0,1,cons,asymmetric,4206,ENOS8_1500_1559_E,ENOS8,E,30,900,959
1978,1553,26,0,1,cons,asymmetric,1553,EDUUNTM34_0900_0959_E,EDUUNTM34,E,48,540,599
1983,6280,17,0,1,cons,asymmetric,6280,LECMASL_0600_0659_E,LECMASL,E,35,360,419
2003,2983,0,0,1,cons,asymmetric,2983,EGPXHUM_2300_2359_E,EGPXHUM,E,35,1380,1439
2005,273,16,0,1,cons,asymmetric,273,BIRDES_0900_0959_E,BIRDES,E,33,540,599
2036,19315,0,0,1,cons,asymmetric,19315,LFBP_0000_0059_A,LFBP,A,7,0,59
2047,16876,14,0,1,cons,asymmetric,16876,GCFV_1900_1959_G,GCFV,G,22,1140,1199
2128,4207,19,0,1,cons,asymmetric,4207,ENOS8_1600_1659_E,ENOS8,E,30,960,1019
2129,1554,24,0,1,cons,asymmetric,1554,EDUUNTM34_1000_1059_E,EDUUNTM34,E,48,600,659
2130,6281,17,0,1,cons,asymmetric,6281,LECMASL_0700_0759_E,LECMASL,E,35,420,479
2147,2984,0,0,1,cons,asymmetric,2984,EGPXMNN_0000_0059_E,EGPXMNN,E,40,0,59
2148,274,5,0,1,cons,asymmetric,274,BIRDES_1000_1059_E,BIRDES,E,33,600,659
2186,19316,0,0,1,cons,asymmetric,19316,LFBP_0100_0159_A,LFBP,A,7,60,119
2188,16901,4,0,1,cons,asymmetric,16901,GCFV_2000_2059_A,GCFV,A,12,1200,1259
2274,6282,16,0,1,cons,asymmetric,6282,LECMASL_0800_0859_E,LECMASL,E,35,480,539
2279,4208,9,0,1,cons,asymmetric,4208,ENOS8_1700_1729_E,ENOS8,E,15,1020,1049
2285,1555,24,0,1,cons,asymmetric,1555,EDUUNTM34_1100_1159_E,EDUUNTM34,E,48,660,719
2299,2985,1,0,1,cons,asymmetric,2985,EGPXMNN_0100_0159_E,EGPXMNN,E,40,60,119
2312,275,5,0,1,cons,asymmetric,275,BIRDES_1100_1159_E,BIRDES,E,33,660,719
2316,20290,18,0,1,cons,asymmetric,20290,LGAV_1200_1259_D,LGAV,D,22,720,779
2344,19317,0,0,1,cons,asymmetric,19317,LFBP_0200_0259_A,LFBP,A,7,120,179
2353,16925,4,0,1,cons,asymmetric,16925,GCFV_2000_2059_D,GCFV,D,12,1200,1259
2442,6283,11,0,1,cons,asymmetric,6283,LECMASL_0900_0959_E,LECMASL,E,35,540,599
2448,4209,10,0,1,cons,asymmetric,4209,ENOS8_1730_1759_E,ENOS8,E,15,1050,1079
2451,1556,21,0,1,cons,asymmetric,1556,EDUUNTM34_1200_1229_E,EDUUNTM34,E,24,720,749
2468,2986,1,0,1,cons,asymmetric,2986,EGPXMNN_0200_0259_E,EGPXMNN,E,40,120,179
2479,276,18,0,1,cons,asymmetric,276,BIRDES_1200_1259_E,BIRDES,E,33,720,779
2480,20242,37,0,1,cons,asymmetric,20242,LGAV_1200_1259_G,LGAV,G,44,720,779
2510,19318,0,0,1,cons,asymmetric,19318,LFBP_0300_0359_A,LFBP,A,7,180,239
2525,16877,8,0,1,cons,asymmetric,16877,GCFV_2000_2059_G,GCFV,G,22,1200,1259
2613,4210,20,0,1,cons,asymmetric,4210,ENOS8_1800_1859_E,ENOS8,E,30,1080,1139
2615,6284,11,0,1,cons,asymmetric,6284,LECMASL_1000_1059_E,LECMASL,E,35,600,659
2620,1557,18,0,1,cons,asymmetric,1557,EDUUNTM34_1530_1559_E,EDUUNTM34,E,24,930,959
2632,2987,0,0,1,cons,asymmetric,2987,EGPXMNN_0300_0359_E,EGPXMNN,E,40,180,239
2646,20267,22,0,1,cons,asymmetric,20267,LGAV_1300_1359_A,LGAV,A,22,780,839
2650,277,17,0,1,cons,asymmetric,277,BIRDES_1300_1359_E,BIRDES,E,33,780,839
2681,19319,0,0,1,cons,asymmetric,19319,LFBP_0400_0459_A,LFBP,A,7,240,299
2697,16902,1,0,1,cons,asymmetric,16902,GCFV_2100_2159_A,GCFV,A,12,1260,1319
2778,6285,15,0,1,cons,asymmetric,6285,LECMASL_1100_1159_E,LECMASL,E,35,660,719
2780,4211,29,0,1,cons,asymmetric,4211,ENOS8_1900_1959_E,ENOS8,E,30,1140,1199
2789,1558,27,0,1,cons,asymmetric,1558,EDUUNTM34_1600_1659_E,EDUUNTM34,E,48,960,1019
2796,2988,1,0,1,cons,asymmetric,2988,EGPXMNN_0400_0459_E,EGPXMNN,E,40,240,299
2812,20291,20,0,1,cons,asymmetric,20291,LGAV_1300_1359_D,LGAV,D,22,780,839
2820,278,18,0,1,cons,asymmetric,278,BIRDES_1400_1459_E,BIRDES,E,33,840,899
2848,19320,0,0,1,cons,asymmetric,19320,LFBP_0500_0559_A,LFBP,A,7,300,359
2868,16926,4,0,1,cons,asymmetric,16926,GCFV_2100_2159_D,GCFV,D,12,1260,1319
2945,6286,18,0,1,cons,asymmetric,6286,LECMASL_1200_1259_E,LECMASL,E,35,720,779
2947,4118,3,0,1,cons,asymmetric,4118,ENOSE12_0430_0459_E,ENOSE12,E,15,270,299
2958,1559,0,0,1,cons,asymmetric,1559,EDUUNTM3C_0400_0429_E,EDUUNTM3C,E,30,240,269
2961,2989,3,0,1,cons,asymmetric,2989,EGPXMNN_0500_0559_E,EGPXMNN,E,40,300,359
2982,20243,42,0,1,cons,asymmetric,20243,LGAV_1300_1359_G,LGAV,G,44,780,839
2989,279,4,0,1,cons,asymmetric,279,BIRDES_1500_1559_E,BIRDES,E,33,900,959
3017,19321,1,0,1,cons,asymmetric,19321,LFBP_0600_0659_A,LFBP,A,7,360,419
3036,16878,5,0,1,cons,asymmetric,16878,GCFV_2100_2159_G,GCFV,G,22,1260,1319
3111,4119,13,0,1,cons,asymmetric,4119,ENOSE12_0500_0559_E,ENOSE12,E,30,300,359
3117,6287,10,0,1,cons,asymmetric,6287,LECMASL_1300_1339_E,LECMASL,E,24,780,819
3129,2990,7,0,1,cons,asymmetric,2990,EGPXMNN_0600_0659_E,EGPXMNN,E,40,360,419
3131,1560,11,0,1,cons,asymmetric,1560,EDUUNTM3C_0430_0459_E,EDUUNTM3C,E,30,270,299
3154,280,4,0,1,cons,asymmetric,280,BIRDES_1600_1659_E,BIRDES,E,33,960,1019
3155,20268,22,0,1,cons,asymmetric,20268,LGAV_1400_1459_A,LGAV,A,22,840,899
3183,19322,2,0,1,cons,asymmetric,19322,LFBP_0700_0759_A,LFBP,A,7,420,479
3207,16903,0,0,1,cons,asymmetric,16903,GCFV_2200_2259_A,GCFV,A,12,1320,1379
3246,21701,7,0,1,cons,asymmetric,21701,LIRP_0700_0759_A,LIRP,A,10,420,479
3295,6288,4,0,1,cons,asymmetric,6288,LECMASL_1340_1359_E,LECMASL,E,12,820,839
3297,4120,18,0,1,cons,asymmetric,4120,ENOSE12_0600_0659_E,ENOSE12,E,30,360,419
3309,2991,8,0,1,cons,asymmetric,2991,EGPXMNN_0700_0759_E,EGPXMNN,E,40,420,479
3321,1561,37,0,1,cons,asymmetric,1561,EDUUNTM3C_0500_0559_E,EDUUNTM3C,E,59,300,359
